,price,address,bedrooms,bathrooms,floor_area
30,"€6,750,000 ","Dungriffan, 2 Sydney Parade Avenue, Dublin 4",6 Bed,5 Bath,595 m²
31,"€415,000 ","33 Shantalla Road, Beaumont, Beaumont, Dublin 9",3 Bed,1 Bath,87 m²
32,"€450,000 ","16 Mountain View Drive, Churchtown, Dublin 14",3 Bed,1 Bath,80 m²
33,"€2,800,000 ","4 Willow Bank, Monkstown, Co. Dublin",6 Bed,3 Bath,341 m²
34,"€650,000 ","2 Saint Philomena's Road, Glasnevin, Glasnevin, Dublin 11",4 Bed,1 Bath,134 m²
35,"€945,000 ","44 Shrewsbury Park, Ballsbridge, Dublin 4",3 Bed,2 Bath,146 m²
36,"€350,000 ","51 Whitethorn Crescent, Palmerstown, Dublin 20",3 Bed,2 Bath,99 m²
37,"€3,950,000 ","106 Merrion Road Ballsbridge Dublin 4, Ballsbridge, Dublin 4",5 Bed,5 Bath,520 m²
38,"€545,000 ","33 Mount Drummond Avenue, Harold`s Cross, D6, Harold's Cross, Dublin 6",2 Bed,2 Bath,71 m²
39,"€1,895,000 ","Leeson Mews, 41 Leeson Place, Dublin 2",4 Bed,3 Bath,186 m²
40,"€360,000 ","Apartment 9 Sycamore House, Eaton Wood Square, Shankill, Dublin 18",2 Bed,2 Bath,65 m²
41,"€975,000 ","Residence 9, InterContinental Hotel, Ballsbridge, Dublin 4",1 Bed,2 Bath,115 m²
42,"€435,000 ","Apartment 51, Shrewsbury Donnybrook Castle Stillorgan Road, Donnybrook, Dublin 4",2 Bed,2 Bath,64 m²
43,"€1,495,000 ","Sandyford House, Sandyford Road, Sandyford, Dublin 18",4 Bed,5 Bath,233 m²
44,"€595,000 ","93 Brookwood Avenue, Artane, Artane, Dublin 5",5 Bed,2 Bath,146 m²
45,"€950,000 ","Sea View, 50 Carrickbrack Hill, Sutton, Dublin 13",4 Bed,3 Bath,231 m²
46,"€1,150,000 ","1 New Park Road, Blackrock, Co. Dublin",6 Bed,3 Bath,260 m²
47,"€930,000 ","Sunnyside, 102 Clontarf Road, Clontarf, Dublin 3",4 Bed,1 Bath,126 m²
48,"€575,000 ","15 Danieli Drive, Artane, Artane, Dublin 5",4 Bed,3 Bath,124 m²
49,"€2,500,000 ","South Hill House, Merrion Park, Blackrock, Co. Dublin",9 Bed,6 Bath,561 m²
50,"€895,000 ","6 The Stiles Road, Clontarf, Clontarf, Dublin 3",4 Bed,2 Bath,135 m²
51,"€295,000 ","90 Rialto Cottages, Rialto, Rialto, Dublin 8",2 Bed,1 Bath,45 m²
52,"€350,000 ","19 Saint Samson's Square, Balgriffin, Dublin 13",3 Bed,3 Bath,102 m²
53,"€895,000 ","21 Carrickbrack Lawn, Sutton, Sutton, Dublin 13",4 Bed,2 Bath,180 m²
54,"€475,000 ","2 Mount Symon Rise, Clonsilla, Clonsilla, Dublin 15",4 Bed,3 Bath,118 m²
55,Price on Application ,"87 Haddington Road, Dublin 4",5 Bed,3 Bath,223 m²
56,"€275,000 ","Apartment 11 Marlfield Mall, Kiltipper Way, Tallaght, Dublin 24",3 Bed,2 Bath,87 m²
57,"€1,700,000 ","Apartment 12, Glaunsharoon, Donnybrook, Dublin 4",3 Bed,3 Bath,161 m²
58,"€895,000 ","7 Hampton Park, Saint Helen's Wood, Booterstown, Co. Dublin",4 Bed,3 Bath,140 m²
59,"€975,000 ","Dunamase, Dunamase, Old Frankfort, Dundrum Road, Dublin 14",4 Bed,4 Bath,175 m²
60,"€1,100,000 ","Lohengrin, 13 Charleville, Churchtown, Dublin 14",5 Bed,3 Bath,170 m²
61,"€395,000 ","56 The Crescent, Carrickmines Manor, Carrickmines, Dublin 18",2 Bed,2 Bath,76 m²
62,"€795,000 ","3 Malone Gardens, Sandymount, Dublin 4",4 Bed,2 Bath,170 m²
63,"€590,000 ","Apartment 2 Block J, Hanover Riverside, Forbes Street, Grand Canal Dock, Dublin 2",3 Bed,3 Bath,97 m²
64,"€399,000 ","72 Shantalla Drive, Beaumont, Beaumont, Dublin 9",3 Bed,1 Bath,100 m²
65,"€595,000 ","3 St. Peter's Avenue, Phibsborough, Dublin 7",2 Bed,1 Bath,110 m²
66,"€370,000 ","70 Forestwood Avenue, Santry Avenue, Santry, Dublin 9",3 Bed,2 Bath,89 m²
67,"€995,000 ","66 Offington Lawn, Sutton, Sutton, Dublin 13",4 Bed,2 Bath,239 m²
68,"€599,000 ","10 Huxley Crescent, Cork Street, The Coombe, Dublin 8",4 Bed,3 Bath,125 m²
69,"€3,500,000 ","2 Bayswater Terrace, Sandycove, Co. Dublin",5 Bed,5 Bath,385 m²
70,"€545,000 ","Tonamo, 10 Munster Street, Dublin 7",5 Bed,2 Bath,176 m²
71,"€760,000 ","77 Ballintyre Grove, Ballinteer, Dublin 16",3 Bed,4 Bath,249 m²
72,"€2,475,000 ","Belgrave Lodge, 1 Belgrave Terrace, Monkstown, Co. Dublin",6 Bed,4 Bath,368 m²
73,"€1,395,000 ","Kincade, Shielmartin Road, Sutton, Dublin 13",4 Bed,5 Bath,226 m²
74,"€298,000 ","105 Parkgate Place, Parkgate Street, Islandbridge, Dublin 8",1 Bed,1 Bath,50 m²
75,"€325,000 ","End Cottage, 544 Ballymount Road Lower, Walkinstown, Dublin 12",3 Bed,1 Bath,85 m²
76,"€795,000 ","Malta, 1 Fonthill Road, Rathfarnham, Dublin 14",5 Bed,2 Bath,144 m²
77,"€295,000 ","12 Thomas Davis Street West, Inchicore, D08R3HE, Dublin 8",2 Bed,1 Bath,55 m²
78,"€225,000 ","Apartment 20, College Court, Dublin 8",1 Bed,1 Bath,46 m²
79,"€475,000 ","Apartment 80, The Clayton, The Gasworks, Dublin 4",3 Bed,1 Bath,71 m²
80,"€215,000 ","83 Decies Road, Ballyfermot, Dublin 10",2 Bed,1 Bath,60 m²
81,"€1,675,000 ","18 Garville Road, Rathgar, Dublin 6",4 Bed,3 Bath,218 m²
82,"€495,000 ","22 Wood Dale Green, Ballycullen, Dublin 24",4 Bed,3 Bath,121 m²
83,"€335,000 ","12 Lein Park, Artane, Dublin 5",2 Bed,1 Bath,80 m²
84,"€415,000 ","15 Killiney Hill Park, Killiney, Co. Dublin",2 Bed,2 Bath,70 m²
85,"€645,000 ","Anacapri, 37 Sweetmount Park, Dublin 14",4 Bed,2 Bath,105 m²
86,"€425,000 ","87 Red Arches Road, The Coast, Baldoyle, Dublin 13",4 Bed,3 Bath,145 m²
87,"€320,000 ","66 Stonebridge Avenue, Clonsilla, Dublin 15",3 Bed,1 Bath,80 m²
88,"€320,000 ","Apartment 6, Brock Hall, Dun Laoghaire, Co. Dublin",1 Bed,1 Bath,52 m²
89,"€550,000 ","37 Ballinteer Drive, Dundrum, Dublin 14",3 Bed,1 Bath,110 m²
90,"€450,000 ","22 Leinster Avenue, North Strand, North Strand, Dublin 3",2 Bed,1 Bath,72 m²
91,"€700,000 ","21 Elmpark Avenue, Ranelagh, Ranelagh, Dublin 6",3 Bed,1 Bath,104 m²
92,"€775,000 ","2B Foxfield Park, Raheny, Raheny, Dublin 5",4 Bed,4 Bath,162 m²
93,"€295,000 ","6 Main Street, Ongar Village, Ongar, Dublin 15",3 Bed,3 Bath,138 m²
94,"€325,000 ","27 Saint Michaels Terrace, Blackpitts, Dublin 8",2 Bed,1 Bath,47 m²
95,"€320,000 ","Apartment 71 The Strand 149 North Strand Road, North Strand, Dublin 3",2 Bed,2 Bath,73 m²
96,"€280,000 ","365 Mourne Road, Drimnagh, Dublin 12",2 Bed,1 Bath,60 m²
97,"€695,000 ","30 Vale View Avenue, Cabinteely, Dublin 18",4 Bed,2 Bath,143 m²
98,"€425,000 ","36 Tivoli Terrace East, Dun Laoghaire, Co. Dublin",2 Bed,1 Bath,69 m²
99,"€1,595,000 ","15 Waltham Terrace Blackrock, Blackrock, Co. Dublin",4 Bed,2 Bath,198 m²
100,"€610,000 ","64 St. Assams Park, Raheny, Dublin 5",3 Bed,2 Bath,106 m²
101,"€335,000 ","33 East Wall Road, East Wall, Dublin 3",3 Bed,1 Bath,75 m²
102,"€399,950 ","35 Belmayne Park North, Balgriffin, Belmayne",4 Bed,2 Bath,124 m²
103,"€635,000 ","10 Diswellstown Park, Hamilton Park, Castleknock, Dublin 15",4 Bed,3 Bath,144 m²
104,"€250,000 ","51 Phibblestown House, Clonee, Dublin 15",2 Bed,2 Bath,73 m²
105,"€470,000 ","20 Airpark House, Rathfarnham, Dublin 16",2 Bed,2 Bath,112 m²
106,"€550,000 ","21 Lansdowne Crescent, Ballsbridge, Dublin 4",2 Bed,1 Bath,68 m²
107,"€325,000 ","6 Belfry Close, Citywest Road, Citywest, Co. Dublin",3 Bed,3 Bath,108 m²
108,"€455,000 ","352 Cashel Road, Kimmage, Kimmage, Dublin 12",3 Bed,3 Bath,89 m²
109,"€1,400,000 ","Off Market Listing, Mount Anville Road, Mount Merrion, Co. Dublin",4 Bed,2 Bath,188 m²
110,"€335,000 ","29 Mask Drive, Artane, Artane, Dublin 5",2 Bed,1 Bath,66 m²
111,"€595,000 ","194 Kimmage Road West, Kimmage, Dublin 12",3 Bed,2 Bath,146 m²
112,"€360,000 ","Apartment 35, The Atrium, The Steelworks, Dublin 1",2 Bed,2 Bath,60 m²
113,"€335,000 ","Apartment 2, Richmond Villas, Dublin 2",2 Bed,1 Bath,51 m²
114,"€345,000 ","64 Stannaway Road, Crumlin, Dublin 12",2 Bed,1 Bath,57 m²
115,"€395,000 ","16 Clanboy Road, Donnycarney, Dublin 5",2 Bed,1 Bath,62 m²
116,"€350,000 ","63 Churchwell Road, Belmayne, D13PE03, Dublin 13",3 Bed,3 Bath,116 m²
117,"€525,000 ","110 Nephin Road, Navan Road, Navan Road (D7), Dublin 7",3 Bed,1 Bath,110 m²
118,"€515,000 ","Apartment 86, Block A, Smithfield, Dublin 1",3 Bed,2 Bath,92 m²
119,"€659,000 ","169 New Cabra Road, Cabra, Dublin 7",3 Bed,2 Bath,140 m²
120,"€800,000 ","Flat 1, 61 North Circular Road, Dublin 7",4 Bed,3 Bath,190 m²
121,"€520,000 ","2 Faulkners Terrace, Kilmainham, Kilmainham, Dublin 8",2 Bed,2 Bath,102 m²
122,"€545,000 ","Granuaile, 4A Brookstone Road, Baldoyle, Dublin 13",3 Bed,2 Bath,103 m²
123,"€895,000 ","13 Church Gardens, Rathmines, Dublin 6",2 Bed,3 Bath,125 m²
124,"€1,500,000 ","2 Charleville Manor, Knocklyon, Dublin 16",5 Bed,6 Bath,369 m²
125,"€255,000 ","Apt 6 Kingscourt, Aughrim St, Dublin 7",1 Bed,1 Bath,43 m²
126,"€285,000 ","10 Ferns Road, Crumlin, Dublin 12",2 Bed,1 Bath,66 m²
127,"€275,000 ","53 McKelvey Avenue D11 C9P0, Finglas, Dublin 11",3 Bed,1 Bath,72 m²
128,"€199,000 ","Apartment 4, 3 Railway Road, Clongriffin, Dublin 13",1 Bed,1 Bath,50 m²
129,"€295,000 ","57 Viking Road, Arbour Hill, Stoneybatter, Dublin 7",2 Bed,1 Bath,55 m²
130,"€695,000 ","Apartment 16, Lansdowne Wood, Lansdowne Road, Ballsbridge, Dublin 4",2 Bed,2 Bath,103 m²
131,"€475,000 ","137 Temple Gardens, Northwood, Santry, Dublin 9",3 Bed,2 Bath,136 m²
132,"€1,295,000 ","Tír Na Nóg, 138 Howth Road, Howth, Dublin 13",4 Bed,2 Bath,211 m²
133,"€475,000 ","142 Alexandra Building, Adelaide Square, Whitefriar Street, Dublin 8",2 Bed,1 Bath,69 m²
134,"€365,000 ","17 Hampton Wood Road, Finglas, Dublin 11",4 Bed,3 Bath,139 m²
135,"€295,000 ","21 Adare Green, Coolock, Dublin 17",2 Bed,1 Bath,74 m²
136,"€375,000 ","Apartment 9, Marlfield House, Cabinteely, Dublin 18",2 Bed,2 Bath,77 m²
137,"€540,000 ","13 Rollins Villas, Sallynoggin, Co. Dublin",3 Bed,2 Bath,93 m²
138,"€285,000 ","Apartment 7 Atrium Apartments, 30 Island Street, Christchurch, Dublin 8",2 Bed,1 Bath,60 m²
139,"€660,000 ","29 Sutton Lawns, Sutton, Dublin 13",4 Bed,2 Bath,136 m²
140,"€299,000 ","45 Balrothery Estate, Tallaght, Tallaght, Dublin 24",3 Bed,1 Bath,93 m²
141,"€320,000 ","Block C, 118 Castleforbes Sq, IFSC, Dublin 1",1 Bed,1 Bath,50 m²
142,"€240,000 ","19 Sundale Close, Tallaght, Dublin 24",3 Bed,1 Bath,81 m²
143,"€295,000 ","Apartment 4, Convent Lane, Dun Laoghaire, Co. Dublin",1 Bed,1 Bath,55 m²
144,"€1,100,000 ","1 Cranford, Terenure Road West, Dublin 6W",5 Bed,3 Bath,204 m²
145,"€385,000 ","Apartment 49, Cloonlara Square, Phoenix Park Racecourse, Castleknock, Dublin 15",2 Bed,2 Bath,86 m²
146,"€1,350,000 ","74 Brighton Road, Rathgar, Rathgar, Dublin 6",3 Bed,1 Bath,162 m²
147,"€1,150,000 ","33 Mountpleasant Avenue Lower, Rathmines, Ranelagh, Dublin 6",3 Bed,2 Bath,186 m²
148,"€300,000 ","13 Deerpark Green, Kiltipper Road, Tallaght, Dublin 24",3 Bed,3 Bath,102 m²
149,"€295,000 ","97 Downpatrick Road, Crumlin, Crumlin, Dublin 12",3 Bed,1 Bath,78 m²
150,"€1,200,000 ","41 Pembroke Lane, Ballsbridge, Dublin 4",3 Bed,3 Bath,138 m²
151,"€235,000 ","15 Westend Gate, Tallaght, Dublin 24",2 Bed,2 Bath,67 m²
152,"€295,000 ","4 Rosedale Drive, Clonee, Dublin 15",3 Bed,3 Bath,104 m²
153,"€325,000 ","134 The Belfry, Belarmine, Stepaside, Dublin 18",2 Bed,1 Bath,71 m²
154,"€650,000 ","78 Watson Park Killiney, Killiney, Co. Dublin",4 Bed,2 Bath,140 m²
155,"€335,000 ","50 Edenmore Crescent, Raheny, Dublin 5",3 Bed,1 Bath,85 m²
156,"€495,000 ","2 All Saints Road, Raheny, Dublin 5",3 Bed,1 Bath,76 m²
157,"€475,000 ","14 Woodbine Drive, Raheny, Dublin 5",3 Bed,1 Bath,93 m²
158,"€285,000 ","Apt 99, Block 1, The Watermill, Raheny, Dublin 5",2 Bed,2 Bath,60 m²
159,"€249,000 ","Apartment 14, Whatley Hall, Archerswood, Clonee, D15E3WF, Dublin 15",2 Bed,2 Bath,83 m²
160,"€249,000 ","36 Cherryfield Walk, Hartstown, D15Y5WX, Dublin 15",2 Bed,1 Bath,64 m²
161,"€750,000 ","16 Temple Hall, Mount St Annes, Milltown, Dublin 6",3 Bed,2 Bath,103 m²
162,"€875,000 ","15 Offington Drive, Sutton, Sutton, Dublin 13",5 Bed,2 Bath,164 m²
163,"€235,000 ","15 Westend Gate, Tallaght, Dublin 24",2 Bed,2 Bath,67 m²
164,"€495,000 ","61 Dowth Avenue, Cabra, Cabra, Dublin 7",3 Bed,2 Bath,74 m²
165,"€490,000 ","175 Collinswood, Collins Avenue, Dublin 9",3 Bed,3 Bath,89 m²
166,"€279,950 ","7 Hunters Green, Hunters Wood, Ballycullen, Dublin 16",2 Bed,2 Bath,80 m²
167,"€575,000 ","10 Fey Yerra, Leopardstown Road, Foxrock, Dublin 18",3 Bed,2 Bath,957 m²
168,"€349,000 ","35 St James Rd, Walkinstown, Dublin 12",3 Bed,2 Bath,120 m²
169,"€425,000 ","924 Sarto Lawn, Sutton, Dublin 13",3 Bed,1 Bath,96 m²
170,"€295,000 ","22 Liberty Court, Clanbrassil Street Lower, Dublin 8",1 Bed,1 Bath,54 m²
171,"€275,000 ","91 An Crannog, Rochestown Ave, Dun Laoghaire, Co. Dublin",2 Bed,1 Bath,64 m²
172,"€275,000 ","Apartment 3, 219 Clontarf Road, Clontarf, Dublin 3",1 Bed,1 Bath,44 m²
173,"€260,000 ","Apartment 31, Shackleton House, Archerswood, Clonee, Dublin 15",2 Bed,2 Bath,80 m²
174,"€230,000 ","Apartment 60, Deerpark Road, Kiltipper, Dublin 24",2 Bed,2 Bath,60 m²
175,"€280,000 ","14 Beau Park Mews, Clongriffin, Clongriffin, Dublin 13",2 Bed,1 Bath,57 m²
176,"€225,000 ","Apartment 20, Tallow Hall, Belgard Square, Dublin 24",2 Bed,2 Bath,78 m²
177,"€200,000 ","Apartment 13, Block A, The Tramyard, Inchicore, Dublin 8",1 Bed,1 Bath,41 m²
178,"€250,000 ","Apartment 189, The Spinnaker, Dublin 7",1 Bed,1 Bath,33 m²
179,"€420,000 ","44 Reuben Avenue, Rialto, Rialto, Dublin 8",2 Bed,1 Bath,87 m²
180,"€325,000 ","8 Clonmacnoise Road, Crumlin, Dublin 12",2 Bed,1 Bath,72 m²
181,"€245,000 ","1 The Iona, Prospect Hill, Finglas, D11X797, Dublin 11",2 Bed,2 Bath,75 m²
182,"€475,000 ","25 Linden Court, House 3, Grove Avenue, Blackrock, Co. Dublin",2 Bed,2 Bath,66 m²
183,"€795,000 ","119 Shrewsbury Park Ballsbridge Dublin 4, Ballsbridge, Dublin 4",3 Bed,2 Bath,128 m²
184,"€750,000 ","55 Grace Park Road, Drumcondra, Dublin 9",3 Bed,2 Bath,115 m²
185,"€260,000 ","63 Muskerry Road, Ballyfermot, Ballyfermot, Dublin 10",2 Bed,1 Bath,56 m²
186,"€650,000 ","8 Woodley Road, Dun Laoghaire, Co. Dublin",3 Bed,1 Bath,148 m²
187,"€240,000 ","14 Allendale Green, Clonee, D15 Y5PD, Dublin 15",4 Bed,3 Bath,121 m²
188,"€350,000 ","8 Riversdale Grove, Terenure, D6W TD21, Dublin 6W",3 Bed,1 Bath,105 m²
189,"€195,000 ","18 The Gables, Clondalkin, D22 YD77, Dublin 22",2 Bed,1 Bath,54 m²
190,"€465,000 ","13 Heather Drive, Rathfarnham, Dublin 16",3 Bed,1 Bath,85 m²
191,"€775,000 ","142 Foxrock Park, Foxrock, Dublin 18",4 Bed,1 Bath,154 m²
192,"€220,000 ","24 Amberwood, Mulhuddart, Mulhuddart, Dublin 15",1 Bed,1 Bath,51 m²
193,"€359,000 ","23 Ballintyre Demesne, Ballinteer, Dublin 16",2 Bed,2 Bath,72 m²
194,"€340,000 ","9 Stonecroft, Shanganagh Road, Killiney, Co. Dublin",2 Bed,2 Bath,62 m²
195,"€4,250,000 ","23 Clyde Road, Ballsbridge, Dublin 4",5 Bed,4 Bath,602 m²
196,"€340,000 ","30 Whitechurch View, Rathfarnham, Dublin 16",3 Bed,1 Bath,78 m²
197,"€397,000 ","14 Harbour Court, George's Place, Dun Laoghaire, Co. Dublin",2 Bed,2 Bath,72 m²
198,"€425,000 ","14 Saint Domhnach's Well, Sutton, Sutton, Dublin 13",2 Bed,1 Bath,69 m²
199,"€285,000 ","Apartment 97 The Crannog, Granitefield Manor , Rochestown Avenue, Dun Laoghaire, Co. Dublin",2 Bed,2 Bath,70 m²
200,"€360,000 ","41 Meadowland Avenue, Mounttown, Dun Laoghaire, Co. Dublin",3 Bed,1 Bath,85 m²
201,"€485,000 ","11 Margaret Place, Bath Avenue, Sandymount, Dublin 4",3 Bed,1 Bath,80 m²
202,"€315,000 ","16 Warrenstown Close, Blanchardstown, Blanchardstown, Dublin 15",3 Bed,3 Bath,93 m²
203,"€439,000 ","12 Church View, Clondalkin, Dublin 22",4 Bed,2 Bath,127 m²
204,"€215,000 ","Apartment 18 Deerpark Place, Kiltipper, Dublin 24",2 Bed,2 Bath,60 m²
205,"€250,000 ","27 Malton House, Custom House Square, IFSC, Dublin 1",1 Bed,1 Bath,40 m²
206,"€345,000 ","Apartment 157, Hampton Square, Dublin 7",2 Bed,2 Bath,68 m²
207,"€635,000 ","6 Obelisk Grove, St Augustines Park, Blackrock, Co. Dublin",3 Bed,3 Bath,92 m²
208,"€260,000 ","84 Trinity Square, Townsend Street, Dublin 2",1 Bed,1 Bath,50 m²
209,"€189,000 ","30 Thornfield Square, Clondalkin, Dublin 22",2 Bed,2 Bath,67 m²
210,"€775,000 ","18 Glencairn Park, The Gallops, Leopardstown, Dublin 18",4 Bed,3 Bath,153 m²
211,"€299,950 ","25 Edenmore Crescent, Raheny, Dublin 5",3 Bed,1 Bath,80 m²
212,"€695,000 ","1 Drummartin Crescent, Goatstown, Dublin 14",3 Bed,2 Bath,124 m²
213,"€450,000 ","4 Saint Margaret's Terrace, The Coombe, Dublin 8",2 Bed,2 Bath,81 m²
214,"€1,400,000 ","42 Beechpark Avenue, Castleknock, Dublin 15",4 Bed,2 Bath,130 m²
215,"€360,000 ","Apartment 409, The Cubes 3, Beacon South Quarter, Sandyford, Dublin 18",2 Bed,2 Bath,68 m²
216,"€800,000 ","Preston House, 3 Preston Street, Dublin 1",7 Bed,7 Bath,200 m²
217,"€595,000 ","1 Block 1, Clarion Quay, Excise Walk, IFSC, Co. Dublin",3 Bed,2 Bath,95 m²
218,"€295,000 ","62 Goldenbridge Avenue, Inchicore, Inchicore, Dublin 8",2 Bed,2 Bath,80 m²
219,"€265,000 ","Apartment 23, The Hardwicke, Smithfield, Dublin 1",2 Bed,1 Bath,70 m²
220,"€240,000 ","51 Casement Drive, Finglas, D11 E6X0, Dublin 11",2 Bed,1 Bath,90 m²
221,"€2,250,000 ","39 St Kevins Park, Dartry, Dublin 6",5 Bed,4 Bath,277 m²
222,"€295,000 ","10 Manorfields Green, Clonee, Dublin 15",2 Bed,1 Bath,71 m²
223,"€475,000 ","19 Beverly Lawns Knocklyon Dublin 16, Knocklyon, Dublin 16",3 Bed,2 Bath,84 m²
224,"€325,000 ","111 Fairview Close, Richmond Avenue, Fairview, Dublin 3",2 Bed,2 Bath,72 m²
225,"€350,000 ","1A Holycross Avenue, Drumcondra, Dublin 3",2 Bed,1 Bath,51 m²
226,"€385,000 ","21 Red Arches Drive, The Coast, Baldoyle, Dublin 13",3 Bed,3 Bath,111 m²
227,"€260,000 ","35 Aran Court, Waterville, Blanchardstown, Dublin 15",2 Bed,2 Bath,81 m²
228,"€249,950 ","Apartment 114, Premier Square, Finglas, Dublin 11",2 Bed,2 Bath,68 m²
229,"€450,000 ","121 Grattan Lodge, Hole In The Wall Road, Donaghmede, Dublin 13",4 Bed,2 Bath,125 m²
230,"€495,000 ","274A Glasnevin Avenue, Glasnevin, Dublin 11",4 Bed,3 Bath,111 m²
231,"€320,000 ","Apartment 6, Liberty Court Apartments, Dublin 8",2 Bed,2 Bath,65 m²
232,"€470,000 ","21 Clanranald Road, Donnycarney, Dublin 5",3 Bed,1 Bath,84 m²
233,"€435,000 ","11 Chapelwood View, Hollystown, Dublin 15",4 Bed,3 Bath,125 m²
234,"€440,000 ","16 Richmond Estate, Fairview, Fairview, Dublin 3",3 Bed,2 Bath,116 m²
235,"€250,000 ","10 The Spinnaker, Aran Quay, Smithfield, Dublin 7",1 Bed,1 Bath,54 m²
236,"€485,000 ","7 Loreto Avenue, Rathfarnham, Rathfarnham, Dublin 14",3 Bed,1 Bath,89 m²
237,"€250,000 ","46 Virginia Hall, Tallaght, Dublin 24",2 Bed,2 Bath,69 m²
238,"€450,000 ","43 Lorcan Villas, Beaumont, Dublin 9",3 Bed,2 Bath,110 m²
239,"€1,295,000 ","9 Corrig Avenue, Dun Laoghaire, Co. Dublin",4 Bed,3 Bath,335 m²
240,"€340,000 ","Apartment 222, The Elms, Carrington, Santry, Dublin 9",2 Bed,2 Bath,70 m²
241,"€595,000 ","56 Bayview Avenue, North Strand, North Strand, Dublin 3",4 Bed,2 Bath,134 m²
242,"€375,000 ","Apartment 13, Sorrell Hall, Ticknock Avenue, Ticknock Hill, Sandyford, Dublin 18",2 Bed,2 Bath,83 m²
243,"€375,000 ","Apartment 26, Crosbie House, Northbrook Avenue, Ranelagh, Dublin 6",2 Bed,1 Bath,52 m²
244,"€595,000 ","56 Ballinteer Crescent, Ballinteer, Dublin 16",3 Bed,1 Bath,95 m²
245,"€395,000 ","153 Park Drive Avenue, Castleknock, Dublin 15",2 Bed,1 Bath,62 m²
246,"€1,395,000 ","52 Booterstown Avenue Booterstown, Booterstown, Co. Dublin",4 Bed,2 Bath,233 m²
247,"€970,000 ","1 Abbey Street, Howth, Dublin 13",5 Bed,3 Bath,197 m²
248,"€395,000 ","20 Mulvey Park, Dundrum, Dundrum, Dublin 14",3 Bed,2 Bath,80 m²
249,"€385,000 ","106 Chanel Road, Artane, Artane, Dublin 5",3 Bed,1 Bath,100 m²
250,"€275,000 ","8 Kilbarron Drive, Kilmore, Kilmore, Dublin 5",3 Bed,1 Bath,73 m²
251,"€275,000 ","6 Castlegrange Road, Clondalkin, Clondalkin, Dublin 22",3 Bed,2 Bath,75 m²
